,관광지명,소재지도로명주소,위도,경도,시도명
734,남원시립김병종미술관,전라북도 남원시 함파우길 65-14,35.398706,127.389555,전북특별자치도
735,혼불문학관,전라북도 남원시 사매면 노봉안길 52,35.481096,127.319992,전북특별자치도
736,국악의 성지,전라북도 남원시 운봉읍 비전길 69,35.459997,127.569101,전북특별자치도
737,지리산허브밸리,전라북도 남원시 운봉읍 바래봉길 214,35.435092,127.548617,전북특별자치도
738,남원백두대간생태교육장전시관,전라북도 남원시 운봉읍 운봉로 151,35.397328,127.5079302,전북특별자치도
739,만인의총,전라북도 남원시 만인로 3,35.420404,127.377325,전북특별자치도
740,만리포 관광지,충청남도 태안군 소원면 만리포2길 190-3,36.79000781,126.1465709,충청남도
741,한탄강관광지,경기도연천군전곡읍선사로76,38.00887699,127.0588604,경기도연천군전곡읍선사로76
742,연천재인폭포,nan,38.07672631,127.142345,nan
743,연천호로고루,nan,37.98583872,126.8596065,nan
744,당포성,nan,38.02350322,126.9854182,nan
745,연천전곡리유적,경기도연천군전곡읍양연로1510,38.01564838,127.0614526,경기도연천군전곡읍양연로1510
746,무주 덕유산 리조트,전북특별자치도 무주군 설천면 만선로 185,35.889797,127.731389,전북특별자치도
747,대둔산도립공원,전라북도 완주군 운주면 대둔산공원길 23,36.11708032,127.3328815,전북특별자치도
748,모악산도립공원,전라북도 완주군 구이면 모악산길 91,35.72946608,127.1098589,전북특별자치도
749,고산자연휴양림,전라북도 완주군 고산면 고산휴양림로 246,35.96224205,127.2328719,전북특별자치도
750,상관 공기마을 편백숲,전라북도 완주군 상관면 죽림편백길 191-24,35.737491,127.2023884,전북특별자치도
751,대아수목원&대아호,전라북도 완주군 동상면 대아수목로 94-34,35.97623865,127.3003851,전북특별자치도
752,비비정,전라북도 완주군 삼례읍 비비정길 96-9,35.90154901,127.071693,전북특별자치도
753,비비정예술열차,전라북도 완주군 삼례읍 비비정길 73-21,35.89880244,127.0676418,전북특별자치도
754,삼례문화예술촌,전라북도 완주군 삼례읍 삼례역로 81-13,35.90623513,127.0658535,전북특별자치도
755,삼례책마을,전라북도 완주군 삼례읍 삼례역로 68,35.90745719,127.065756,전북특별자치도
756,그림책미술관,전라북도 완주군 삼례읍 삼례역로 48-1,35.90832046,127.068059,전북특별자치도
757,대한민국술테마박물관,전라북도 완주군 구이면 덕천전원길 232-58,35.726048,127.1361627,전북특별자치도
758,완주전통문화체험장,전라북도 완주군 고산면 대아저수로 416,35.98879491,127.261342,전북특별자치도
759,청소년전통문화체험관,전라북도 완주군 고산면 대아저수로 416,35.98879491,127.261342,전북특별자치도
760,놀토피아,전라북도 완주군 고산면 대아저수로 416,35.98879491,127.261342,전북특별자치도
761,부평아트센터,인천광역시 부평구 아트센터로 166,37.4822383,126.7049334,인천광역시
762,기후변화체험관,인천광역시 부평구 장제로 267,37.50932668,126.7307645,인천광역시
763,부평역사박물관,인천광역시 부평구 굴포로 151,37.51214216,126.7379081,인천광역시
764,부평안전체험관,인천광역시 부평구 굴포로 110,37.51098789,126.7333177,인천광역시
765,인천나비공원,인천광역시 부평구 평천로 26-47,37.52026697,126.6927245,인천광역시
766,오색관광지,nan,38.07706115,128.5128997,nan
767,지경관광지,nan,37.92741327,128.7948611,nan
768,설해원(양양국제공항),nan,38.05555608,128.6641979,nan
769,좌구산휴양랜드,충청북도 증평군 증평읍 솟점말길 107,36.70556821,127.6511216,충청북도
770,좌구산 천문대,충청북도 증평군 증평읍 솟점말길 187,36.70370345,127.6530963,충청북도
771,증평민속체험박물관,충청북도 증평군 증평읍 둔덕길 89,36.7638886,127.5955694,충청북도
772,보강천 미루나무숲,nan,36.78834006,127.5810146,nan
773,증평인삼문화센터,충청북도 증평군 증평읍 중부로 2451,36.79588146,127.5817602,충청북도
774,에듀팜특구관광단지(벨포레리조트),충청북도 증평군 도안면 벨포레길 346,36.84514868,127.5821182,충청북도
775,황령산관광지,부산광역시 수영구 황령산로 156,35.1552432,129.1029084,부산광역시
776,이바구공작소,부산광역시 동구 망양로486번길 14-13,35.11709939,129.0338233,부산광역시
777,장기려더나눔센터,부산광역시 동구 영초윗길 48,35.11853593,129.0326526,부산광역시
778,이바구충전소,부산광역시 동구 영초윗길 25,35.11735028,129.034686,부산광역시
779,168계단 부대시설,부산광역시 동구 영초윗길26번길 14,35.1176995,129.0353474,부산광역시
780,김민부전망대,부산광역시 동구 영초윗길26번길 14,35.1176995,129.0353474,부산광역시
781,유치환의 우체통,부산광역시 동구 망양로580번길 2,35.12209588,129.0338423,부산광역시
782,소흥관(한중우호센터),부산광역시 동구 초량중로 36,35.11507608,129.0375502,부산광역시
783,만화체험관,부산광역시 동구 성북로 42-1,35.13778041,129.0497944,부산광역시
